"Id","Name","DryLiquid","Custom","StaticDataVersionId"
1,Dry Fertilizer,dry,false,1
2,Dry Fertilizer (Custom),dry,true,1
3,Liquid Fertilizer,liquid,false,1
4,Liquid Fertilizer (Custom),liquid,true,1
1,Dry Fertilizer,dry,false,2
2,Dry Fertilizer (Custom),dry,true,2
3,Liquid Fertilizer,liquid,false,2
4,Liquid Fertilizer (Custom),liquid,true,2
1,Dry Fertilizer,dry,false,3
2,Dry Fertilizer (Custom),dry,true,3
3,Liquid Fertilizer,liquid,false,3
4,Liquid Fertilizer (Custom),liquid,true,3
1,Dry Fertilizer,dry,false,4
2,Dry Fertilizer (Custom),dry,true,4
3,Liquid Fertilizer,liquid,false,4
4,Liquid Fertilizer (Custom),liquid,true,4
1,Dry Fertilizer,dry,false,5
2,Dry Fertilizer (Custom),dry,true,5
3,Liquid Fertilizer,liquid,false,5
4,Liquid Fertilizer (Custom),liquid,true,5
1,Dry Fertilizer,dry,false,6
2,Dry Fertilizer (Custom),dry,true,6
3,Liquid Fertilizer,liquid,false,6
4,Liquid Fertilizer (Custom),liquid,true,6
1,Dry Fertilizer,dry,false,7
2,Dry Fertilizer (Custom),dry,true,7
3,Liquid Fertilizer,liquid,false,7
4,Liquid Fertilizer (Custom),liquid,true,7
1,Dry Fertilizer,dry,false,8
2,Dry Fertilizer (Custom),dry,true,8
3,Liquid Fertilizer,liquid,false,8
4,Liquid Fertilizer (Custom),liquid,true,8
1,Dry Fertilizer,dry,false,9
2,Dry Fertilizer (Custom),dry,true,9
3,Liquid Fertilizer,liquid,false,9
4,Liquid Fertilizer (Custom),liquid,true,9
1,Dry Fertilizer,dry,false,10
2,Dry Fertilizer (Custom),dry,true,10
3,Liquid Fertilizer,liquid,false,10
4,Liquid Fertilizer (Custom),liquid,true,10
1,Dry Fertilizer,dry,false,12
2,Dry Fertilizer (Custom),dry,true,12
3,Liquid Fertilizer,liquid,false,12
4,Liquid Fertilizer (Custom),liquid,true,12
1,Dry Fertilizer,dry,false,13
2,Dry Fertilizer (Custom),dry,true,13
3,Liquid Fertilizer,liquid,false,13
4,Liquid Fertilizer (Custom),liquid,true,13
1,Dry Fertilizer,dry,false,14
2,Dry Fertilizer (Custom),dry,true,14
3,Liquid Fertilizer,liquid,false,14
4,Liquid Fertilizer (Custom),liquid,true,14
